,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
837,23,female,1,rent,little,NA,601,4,furniture/equipment,good
943,42,male,1,own,little,NA,1455,4,car,good
314,29,male,1,own,NA,rich,1494,4,car,good
527,42,male,1,own,little,NA,1503,4,radio/TV,good
234,42,male,1,own,little,NA,1544,4,radio/TV,good
734,37,female,2,own,little,NA,3380,4,car,good
430,74,male,1,own,little,NA,3448,5,business,good
725,41,female,1,own,rich,NA,250,6,car,good
177,52,male,2,own,quite rich,little,338,6,radio/TV,good
458,27,female,2,own,little,little,343,6,domestic appliances,good
379,52,female,1,own,moderate,NA,362,6,car,good
493,38,male,2,own,NA,moderate,368,6,radio/TV,good
26,39,male,1,own,little,NA,426,6,radio/TV,good
750,49,female,2,own,little,little,428,6,furniture/equipment,good
721,24,female,2,rent,rich,moderate,433,6,education,bad
471,23,female,2,own,little,little,448,6,education,bad
964,22,male,1,own,little,moderate,454,6,repairs,good
811,28,male,1,own,little,moderate,484,6,radio/TV,good
451,29,female,2,own,little,NA,518,6,radio/TV,good
806,26,male,1,own,little,moderate,590,6,radio/TV,good
515,37,female,2,own,little,little,609,6,car,good
436,23,male,1,rent,quite rich,NA,660,6,repairs,good
529,41,male,1,own,little,little,662,6,car,good
250,39,female,1,own,rich,little,666,6,car,good
300,54,female,0,own,little,NA,672,6,car,good
562,29,female,2,own,little,rich,683,6,radio/TV,good
519,36,male,2,free,NA,NA,700,6,radio/TV,good
140,27,male,0,own,rich,rich,709,6,car,good
976,64,female,2,own,little,moderate,753,6,radio/TV,good
55,26,male,1,own,NA,NA,783,6,car,good
146,39,female,2,own,little,little,860,6,car,good
595,32,female,1,own,moderate,moderate,931,6,car,bad
102,24,female,2,own,little,NA,932,6,radio/TV,good
215,39,female,1,own,NA,moderate,932,6,education,good
664,50,female,1,own,little,rich,1047,6,education,good
663,35,male,3,own,little,moderate,1050,6,furniture/equipment,good
329,28,male,2,own,little,moderate,1068,6,radio/TV,good
0,67,male,2,own,NA,little,1169,6,radio/TV,good
711,35,female,2,free,little,little,1198,6,education,bad
518,43,male,2,own,moderate,little,1203,6,car,good
247,35,male,2,rent,moderate,NA,1204,6,car,good
485,47,male,3,own,little,moderate,1209,6,car,bad
792,27,male,2,own,NA,NA,1221,6,furniture/equipment,good
695,50,male,2,rent,quite rich,NA,1236,6,car,good
492,27,female,2,own,moderate,NA,1237,6,radio/TV,good
473,36,male,3,own,NA,NA,1238,6,education,good
756,74,male,0,own,little,rich,1299,6,car,good
499,28,male,2,own,moderate,rich,1323,6,car,good
816,62,male,2,own,quite rich,NA,1338,6,domestic appliances,good
871,46,male,2,own,little,rich,1343,6,car,good
150,42,male,2,free,moderate,NA,1346,6,radio/TV,good
47,23,female,0,rent,quite rich,little,1352,6,car,good
516,40,male,1,own,little,little,1361,6,car,good
25,36,male,1,own,little,little,1374,6,furniture/equipment,good
536,75,female,3,own,NA,little,1374,6,car,good
196,28,female,2,own,little,NA,1382,6,radio/TV,good
110,31,male,2,own,moderate,moderate,1449,6,business,good
680,56,female,2,own,little,NA,1538,6,education,good
305,33,male,2,own,rich,NA,1543,6,furniture/equipment,good
817,24,female,2,rent,little,NA,1554,6,radio/TV,good
241,51,male,2,own,little,NA,1595,6,radio/TV,good
960,30,male,2,rent,little,NA,1740,6,radio/TV,good
348,34,male,1,own,moderate,NA,1743,6,business,good
551,45,male,1,own,quite rich,NA,1750,6,radio/TV,good
363,21,male,2,rent,little,NA,1766,6,furniture/equipment,good
432,36,male,3,free,little,little,1872,6,furniture/equipment,good
159,34,male,1,own,NA,NA,1898,6,radio/TV,good
393,31,female,2,own,little,little,1957,6,radio/TV,good
937,30,male,3,rent,little,moderate,2063,6,radio/TV,good
673,24,male,2,own,quite rich,NA,2080,6,car,good
193,29,male,2,rent,little,NA,2108,6,radio/TV,good
626,41,male,2,own,little,rich,2116,6,furniture/equipment,good
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,good
165,32,male,2,own,quite rich,NA,2978,6,furniture/equipment,good
335,44,male,3,rent,little,little,3384,6,furniture/equipment,bad
489,26,male,2,rent,little,NA,3518,6,car,good
617,37,male,2,rent,little,little,3676,6,car,good
278,32,female,2,own,little,NA,4611,6,furniture/equipment,bad
693,44,male,1,own,NA,little,4716,6,car,good
738,45,male,3,own,little,NA,6761,6,car,good
236,23,male,0,own,NA,moderate,14555,6,car,bad
917,68,male,3,own,little,little,14896,6,car,bad
71,46,male,1,rent,NA,NA,730,7,radio/TV,good
377,36,male,2,free,NA,NA,846,7,radio/TV,good
600,45,female,2,own,little,moderate,2329,7,radio/TV,good
28,34,male,2,own,little,moderate,2415,7,radio/TV,good
447,35,male,2,own,little,moderate,2576,7,radio/TV,good
823,47,male,1,own,little,little,731,8,car,good
732,44,female,1,own,little,moderate,760,8,radio/TV,good
810,26,male,2,own,little,moderate,907,8,business,good
72,51,male,3,free,little,little,1164,8,vacation/others,good
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad
173,33,male,2,own,little,moderate,1414,8,radio/TV,good
325,39,male,1,own,little,little,3398,8,car,good
309,22,male,1,rent,little,moderate,276,9,car,good
39,24,male,2,own,little,moderate,458,9,radio/TV,good
472,28,male,1,own,little,little,654,9,car,bad
936,28,female,1,own,little,rich,745,9,radio/TV,bad
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,good
601,30,female,2,own,little,moderate,918,9,furniture/equipment,bad
200,52,male,2,own,quite rich,NA,936,9,education,good
351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad
574,27,male,1,own,little,moderate,1082,9,radio/TV,good
502,49,male,2,own,moderate,rich,1126,9,radio/TV,good
349,32,male,2,free,rich,moderate,1136,9,education,bad
713,25,male,1,own,little,little,1138,9,radio/TV,good
957,37,male,1,own,little,moderate,1154,9,radio/TV,good
554,67,female,3,own,little,moderate,1199,9,education,good
708,25,female,2,own,little,moderate,1206,9,radio/TV,good
932,30,male,2,own,little,NA,1224,9,car,good
350,23,female,2,rent,little,NA,1236,9,domestic appliances,good
445,41,female,1,rent,NA,NA,1244,9,education,good
156,48,male,2,own,moderate,little,1288,9,repairs,good
428,20,male,2,own,little,NA,1313,9,furniture/equipment,good
720,34,male,3,own,little,rich,1337,9,radio/TV,bad
848,59,male,2,own,little,little,1364,9,radio/TV,good
922,22,female,2,rent,little,little,1366,9,radio/TV,bad
582,26,female,2,rent,little,NA,1388,9,furniture/equipment,good
60,27,male,2,own,little,moderate,1391,9,business,good
878,27,male,3,free,little,little,1422,9,car,bad
627,29,male,2,own,moderate,moderate,1437,9,car,bad
389,27,female,2,own,little,NA,1449,9,business,good
228,22,male,2,own,little,NA,1478,9,radio/TV,bad
195,34,female,3,own,little,moderate,1501,9,education,bad
799,35,male,0,own,NA,moderate,1549,9,car,good
931,22,female,2,own,little,moderate,1670,9,radio/TV,bad
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good
633,19,female,2,rent,little,NA,1980,9,furniture/equipment,bad
254,24,male,2,own,NA,moderate,2030,9,furniture/equipment,good
709,37,male,1,own,little,moderate,2118,9,radio/TV,good
20,48,male,2,own,little,NA,2134,9,car,good
434,25,male,2,own,little,little,2136,9,furniture/equipment,good
795,22,female,2,rent,moderate,NA,2301,9,furniture/equipment,good
394,31,male,3,own,little,NA,2406,9,furniture/equipment,good
231,51,male,1,free,quite rich,NA,2507,9,car,good
275,32,male,2,own,little,NA,2697,9,radio/TV,good
688,35,male,2,own,moderate,NA,2753,9,radio/TV,good
586,36,male,2,rent,little,little,2799,9,car,good
210,33,male,2,own,NA,NA,3074,9,radio/TV,good
909,33,female,1,own,NA,moderate,3195,9,car,good
859,26,male,2,rent,moderate,NA,3577,9,car,good
629,64,male,1,own,NA,NA,3832,9,education,good
186,74,female,3,free,little,moderate,5129,9,car,bad
354,46,male,2,free,quite rich,NA,727,10,education,good
